1,1,1,131,126,12/14/2019,15:00PM,149,2,0,W,L,151
2,2,1,138,128,12/16/2019,12:30PM,149,2,1,W,L,151
3,3,1,135,127,12/16/2019,13:00PM,148,0,2,L,W,151
4,4,1,136,134,12/17/2019,13:00PM,149,0,4,L,W,151
5,5,1,133,129,12/17/2019,15:00 PM,148,0,0,D,D,151
6,6,1,137,130,12/18/2019,15:00PM,148,0,0,D,D,151
7,7,1,125,132,12/18/2019,13:00PM,148,0,2,L,W,151
8,8,1,127,131,12/20/2019,13:00 PM,149,1,1,D,D,151
9,9,1,126,128,12/20/2019,15:00 PM,148,2,0,W,D,151
10,10,1,136,130,12/21/2019,13:00 PM,149,0,1,L,W,151
11,11,1,135,134,12/21/2019,15:00 PM,148,0,1,L,W,151
12,12,1,125,129,12/22/2019,15:00 PM,148,0,0,D,D,151
13,13,1,138,132,12/23/2019,13:00 PM,149,0,1,L,W,151
14,14,1,137,133,12/23/2019,15:00 PM,148,1,0,W,L,151
15,15,1,131,128,12/25/2019,13:00 PM,149,3,0,W,L,151
16,16,1,127,134,12/25/2019,15:00 PM,148,0,2,L,W,151
17,17,1,126,132,12/26/2019,13:00 PM,149,0,1,L,W,151
18,18,1,135,130,12/26/2019,15:00 PM,148,1,1,D,D,151
19,19,1,138,129,12/27/2019,13:00 PM,149,2,0,W,L,151
20,20,1,136,133,12/27/2019,15:00 PM,148,0,2,L,W,151
21,21,1,125,137,12/28/2019,15:00 PM,148,0,1,L,W,151
22,22,1,134,131,12/30/2019,13:00 PM,149,,,,,152
23,23,1,128,132,12/31/2019,15:00PM,149,,,,,152
24,24,1,127,130,12/31/2019,13:00PM,149,,,,,152
25,25,1,126,129,1/1/2019,15:00PM,149,,,,,152
